Team,Park
D-backs,Chase Field - Phoenix
Braves,Champion Stadium - Lake Buena Vista
Orioles,Oriole Park at Camden Yards - Baltimore
Red Sox,Fenway Park - Boston
Cubs,Wrigley Field - Chicago
White Sox,Guaranteed Rate Field - Chicago
Reds,Great American Ball Park - Cincinnati
Indians,Progressive Field - Cleveland
Rockies,Coors Field - Denver
Tigers,Comerica Park - Detroit
Marlins,Marlins Park - Miami
Astros,Minute Maid Park - Houston
Royals,Kauffman Stadium - Kansas Cit
Angels,Angel Stadium of Anaheim - Anaheim
Dodgers,Dodger Stadium - Los Angeles
Brewers,Miller Park - Milwaukee
Twins,Target Field - Minneapolis
Mets,Citi Field - Flushing
Yankees,Yankee Stadium - Bronx
Athletics,Oakland Coliseum - Oakland
Phillies,Citizens Bank Park - Philadelphia
Pirates,PNC Park - Pittsburgh
Cardinals,Busch Stadium - St. Louis
Padres,Petco Park - San Diego
Giants,AT&T Park - San Francisco
Mariners,Safeco Field - Seattle
Rays,Tropicana Field - St. Petersburg
Rangers,Globe Life Park in Arlington - Arlington
Jays,Rogers Centre - Toronto
Nationals,Nationals Park - Washington
